2015-2016;2016-2017;2017-2018;Académie;Adresse;Appellation officielle;Code département;Code postal;Commune;Département;Etat établissement;Latitude;Lieu dit;Longitude;Nombre d'élèves 2015-2016;Nombre d'élèves 2016-2017;Nombre d'élèves 2017-2018;Numéro d'école;Patronyme uai;Secteur d'enseignement;code région;libellé région;POPULATION;Inférieur à 500 hab ?;Inférieur à 2000 habs;Inférieur à 10000 habs
yes;no;no;ROUEN;36 rue Paul Eluard;Ecole maternelle Marius Grout;;76290.0;Montivilliers;;;;;;79.0;;;0762449Z;;PUBLIC;28;Normandie;16198;0;0;0
yes;yes;no;ROUEN;55 Route de la Joserie;Ecole maternelle de la Houssaye-Béranger;;76690.0;La Houssaye-Béranger;;;;;;34.0;23.0;;0762779H;;PUBLIC;28;Normandie;519;0;1;1
yes;yes;no;NANCY-METZ;2 place de la Mairie;Ecole de Mont-le-Vignoble;;54113.0;Mont-le-Vignoble;;;;;;44.0;37.0;;0542135C;;PUBLIC;44;Grand-Est;403;1;1;1
yes;no;no;NANCY-METZ;50 Grand rue Grande rue;Ecole maternelle de Lebeuville;;54740.0;Lebeuville;;;;;;17.0;;;0542476Y;;PUBLIC;44;Grand-Est;173;1;1;1
yes;yes;no;RENNES;Hameau de Saint Raoul;Ecole primaire Fortune Le Cunff;;56380.0;Guer;;;;;;46.0;41.0;;0560566L;;PUBLIC;53;Bretagne;6310;0;0;1
yes;yes;no;NANCY-METZ;34 rue Charles de Gaulle;Ecole élémentaire Hellert;;57850.0;Dabo;;;;;;20.0;19.0;;0570618M;;PUBLIC;44;Grand-Est;2605;0;0;1
yes;yes;no;LILLE;Résidence Verdun ruE Pierre Larivi;Ecole maternelle Les Lutins;;59440.0;Avesnes-sur-Helpe;;;;;;45.0;38.0;;0594228A;;PUBLIC;32;Hauts-de-France;4778;0;0;1
yes;yes;no;LILLE;35 rue Richard Wagner;Ecole maternelle la Croisette;;59000.0;Lille;;;;;;164.0;179.0;;0594695H;;PUBLIC;32;Hauts-de-France;231491;0;0;0
yes;yes;no;REIMS;Rue du chêne;Ecole primaire de Frampas;;52220.0;Frampas;;;;;;16.0;13.0;;0520637K;;PUBLIC;44;Grand-Est;167;1;1;1
yes;yes;no;ROUEN;37 Route de Clères;Ecole élémentaire de la Houssaye-Béranger;;76690.0;La Houssaye-Béranger;;;;;;42.0;42.0;;0760626T;;PUBLIC;28;Normandie;519;0;1;1
yes;yes;no;ROUEN;198 Route de l'Eglise;Ecole élémentaire d'Anquetierville;;76490.0;Anquetierville;;;;;;22.0;22.0;;0760667M;;PUBLIC;28;Normandie;352;1;1;1
